Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Australia,GDP per hour worked,Total,2015=100,1997,76.737507
Australia,GDP per hour worked,Total,US dollars,1998,42.8941
Australia,Trust in government,Total,Percentage,2010,60.97529188
Australia,Average wages,Total,US dollars,2012,57752
Costa Rica,Exchange rates,Total,National currency units/US dollar,1995,179.729167
Australia,Gross domestic product (GDP),Total,US dollars/capita,2012,43911.6833
Australia,Employment rate,Total,% of working age population,2012,72.34558
Australia,Employment rate,Women,Thousand persons,2012,5187.249
Australia,Employment rate,Women,% of working age population,2008,66.71808
Australia,Employment rate,Men,% of working age population,2008,79.6843
Australia,Average wages,Total,US dollars,2020,60377
Croatia,Exchange rates,Total,National currency units/US dollar,1995,0.694241
Australia,Gross domestic product (GDP),Total,US dollars/capita,2020,56888.30448
Australia,Employment rate,Total,% of working age population,2020,72.67477
Australia,Employment rate,Women,Thousand persons,2020,5964.732
Croatia,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.422459
Australia,Average wages,Total,US dollars,2011,57361
Czechia,Exchange rates,Total,National currency units/US dollar,1995,26.540667
Australia,Gross domestic product (GDP),Total,US dollars/capita,2011,44460.60502
Australia,Trust in government,Total,Percentage,2018,46.88368745
Czechia,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,11.160326
Australia,Average wages,Total,US dollars,2019,58620
Denmark,Exchange rates,Total,National currency units/US dollar,1995,5.602367
Australia,Gross domestic product (GDP),Total,US dollars/capita,2019,53670.04007
Australia,Gross domestic product (GDP),Total,Million US dollars,2013,1105431.18
Australia,Employment rate,Men,Thousand persons,2017,6530.419
Australia,GDP per hour worked,Total,2015=100,1998,79.220391
Australia,Gross domestic product (GDP),Total,Million US dollars,2014,1118585.036
Australia,Employment rate,Total,Thousand persons,2014,11540.16
Australia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,6.877
Australia,Employment rate,Women,% of working age population,2016,67.39288
Australia,Employment rate,Men,% of working age population,2016,77.53742
