Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Australia,GDP per hour worked,Total,2015=100,2001,83.605592
Australia,Gender wage gap,Employees,Percentage,2000,17.2
Australia,GDP per hour worked,Total,2015=100,2002,84.855358
Australia,Gross domestic product (GDP),Total,Million US dollars,2004,678093.52
Australia,Employment rate,Total,Thousand persons,2004,9558.361
Finland,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.985701
France,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.98541
Australia,Average wages,Total,US dollars,2002,49140.63129
France,Exchange rates,Total,National currency units/US dollar,1995,0.760947
Australia,Gross domestic product (GDP),Total,US dollars/capita,2002,30823.40346
Australia,Employment rate,Women,Thousand persons,2002,4088.678
Australia,Employment rate,Total,% of working age population,2002,69.35914
Australia,Employment rate,Men,Thousand persons,2002,5101.588
Australia,Gender wage gap,Employees,Percentage,2003,13.04347826
Australia,Employment rate,Women,Thousand persons,2003,4204.096
Australia,Employment rate,Total,% of working age population,2003,70.01125
Australia,GDP per hour worked,Total,US dollars,2002,45.945168
Australia,Gross domestic product (GDP),Total,Million US dollars,2003,639129.361
Australia,GDP per hour worked,Total,US dollars,2003,47.010774
Australia,GDP per hour worked,Total,2015=100,2003,86.823406
Australia,Gross domestic product (GDP),Total,Million US dollars,2001,569807.996
Australia,GDP per hour worked,Total,US dollars,2004,46.853253
Georgia,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.277272
Australia,Average wages,Total,US dollars,2001,48693.3023
Germany,Exchange rates,Total,National currency units/US dollar,1995,0.732749
Australia,Gross domestic product (GDP),Total,US dollars/capita,2001,29562.48326
Australia,Employment rate,Women,% of working age population,2001,61.65271
Australia,Employment rate,Men,% of working age population,2001,76.35796
Australia,Employment rate,Total,Thousand persons,2005,9880.634
Australia,Gender wage gap,Employees,Percentage,2005,15.77777778
Australia,Employment rate,Total,% of working age population,2005,71.54403
Australia,Employment rate,Women,Thousand persons,2005,4437.336
Australia,Air pollution exposure,Exposure to PM2.5,% of population,2005,0.005
Australia,Gender wage gap,Employees,Percentage,2006,16.66666667
Australia,Employment rate,Men,% of working age population,2006,78.8098
Australia,Employment rate,Women,% of working age population,2006,65.44512
Australia,Average wages,Total,US dollars,2007,53805
Germany,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.98502
Australia,Gross domestic product (GDP),Total,US dollars/capita,2007,39703.46962
Australia,Employment rate,Women,% of working age population,2007,66.06055
Australia,Employment rate,Men,% of working age population,2007,79.54396
Australia,Employment rate,Men,Thousand persons,2007,5732.45
Australia,Trust in government,Total,Percentage,2007,52.69328107
Australia,Employment rate,Total,Thousand persons,2007,10434.27
Australia,Employment rate,Men,Thousand persons,2008,5880.447
Australia,Trust in government,Total,Percentage,2008,64.46754241
Australia,GDP per hour worked,Total,2015=100,2004,86.532484
Australia,GDP per hour worked,Total,US dollars,2005,47.027864
Australia,Gender wage gap,Employees,Percentage,2008,11.93737769
Australia,Employment rate,Total,Thousand persons,2021,13045.73
Australia,Gender wage gap,Employees,Percentage,2021,10.47024531
Australia,Employment rate,Total,% of working age population,2021,74.92894
Australia,Employment rate,Women,Thousand persons,2021,6170.014
Greece,Exchange rates,Total,National currency units/US dollar,1995,0.679861
Australia,Average wages,Total,US dollars,2010,55536
Greece,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.57132
Australia,Gross domestic product (GDP),Total,US dollars/capita,2010,42823.92797
Australia,Employment rate,Women,Thousand persons,2010,5000.834
Australia,Employment rate,Total,% of working age population,2010,72.37024
Australia,Employment rate,Men,Thousand persons,2010,6021.409
Australia,Gross domestic product (GDP),Total,Million US dollars,2009,904209.158
Australia,GDP per hour worked,Total,2015=100,2005,86.854971
Hungary,Exchange rates,Total,National currency units/US dollar,1995,125.681425
Australia,Average wages,Total,US dollars,2009,53644
Hungary,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,61.5129
Australia,Gross domestic product (GDP),Total,US dollars/capita,2009,41684.56865
Australia,Employment rate,Women,% of working age population,2009,66.30235
Australia,Employment rate,Men,% of working age population,2009,77.78976
Australia,Gender wage gap,Employees,Percentage,2011,15.96638656
Australia,Employment rate,Women,Thousand persons,2011,5105.946
Australia,Employment rate,Total,% of working age population,2011,72.65694
Australia,Gross domestic product (GDP),Total,Million US dollars,2011,993249.916
Australia,GDP per hour worked,Total,US dollars,2006,47.267823
Australia,Trust in government,Total,Percentage,2011,53.07867193
Australia,Gross domestic product (GDP),Total,Million US dollars,2012,998266.252
Australia,Employment rate,Total,Thousand persons,2012,11350.8
Australia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,7.001
Iceland,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,71.975026
Australia,Employment rate,Men,Thousand persons,2016,6403.566
Australia,GDP per hour worked,Total,2015=100,2006,87.298147
Australia,GDP per hour worked,Total,US dollars,2007,47.806248
Australia,Trust in government,Total,Percentage,2016,45.27317501
Australia,Gender wage gap,Employees,Percentage,2016,13.72843211
Australia,Gender wage gap,Employees,Percentage,2014,15.77335375
Australia,Employment rate,Men,% of working age population,2014,77.07588
Australia,Employment rate,Women,% of working age population,2014,66.09975
Australia,Air pollution exposure,Exposure to PM2.5,% of population,2014,0.004
Australia,Average wages,Total,US dollars,2015,57744
Iceland,Exchange rates,Total,National currency units/US dollar,1995,64.691667
Australia,Gross domestic product (GDP),Total,US dollars/capita,2015,47266.59172
Australia,Employment rate,Women,% of working age population,2015,66.83152
Australia,Employment rate,Men,% of working age population,2015,77.54211
Australia,Air pollution exposure,Exposure to PM2.5,% of population,2015,0.004
Australia,Employment rate,Men,Thousand persons,2015,6327.085
Australia,GDP per hour worked,Total,2015=100,2007,88.292555
Australia,Employment rate,Total,Thousand persons,2015,11766.27
Australia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,6.848
Australia,GDP per hour worked,Total,US dollars,2008,49.465307
Australia,Employment rate,Total,Thousand persons,2013,11456.71
Australia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,6.965
Australia,Gender wage gap,Employees,Percentage,2013,18
Australia,Employment rate,Total,% of working age population,2013,71.97044
Australia,Employment rate,Women,Thousand persons,2013,5256.074
India,Exchange rates,Total,National currency units/US dollar,1995,32.427077
Australia,Average wages,Total,US dollars,2018,57843
India,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,7.953088
Australia,Gross domestic product (GDP),Total,US dollars/capita,2018,53118.79224
Australia,Employment rate,Women,Thousand persons,2018,5893.544
Australia,Employment rate,Total,% of working age population,2018,73.75645
Australia,Employment rate,Men,Thousand persons,2018,6683.232
Australia,Gross domestic product (GDP),Total,Million US dollars,2020,1459486.518
Australia,Employment rate,Total,Thousand persons,2020,12658.38
Ireland,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.801493
Australia,Gross domestic product (GDP),Total,Million US dollars,2017,1248366.725
Australia,Trust in government,Total,Percentage,2017,45.34069629
Australia,GDP per hour worked,Total,2015=100,2008,91.356643
Ireland,Exchange rates,Total,National currency units/US dollar,1995,0.791978
Australia,Average wages,Total,US dollars,2017,57619
Israel,Exchange rates,Total,National currency units/US dollar,1995,3.011292
Australia,Gross domestic product (GDP),Total,US dollars/capita,2017,50758.58232
Australia,Employment rate,Women,% of working age population,2017,68.14085
Australia,Employment rate,Men,% of working age population,2017,77.8993
Australia,Air pollution exposure,Exposure to PM2.5,% of population,2017,0.004
Australia,Gender wage gap,Employees,Percentage,2019,15.31165312
Australia,Employment rate,Total,% of working age population,2019,74.30875
Australia,Employment rate,Women,Thousand persons,2019,6047.843
Australia,Gross domestic product (GDP),Total,Million US dollars,2019,1360009.549
Australia,Trust in government,Total,Percentage,2019,46.87000149
Australia,GDP per hour worked,Total,US dollars,2009,49.063422
Australia,GDP per hour worked,Total,2015=100,2009,90.614407
Australia,Employment rate,Women,% of working age population,1994,56.85906
Australia,Employment rate,Men,% of working age population,1994,75.05529
Australia,GDP per hour worked,Total,US dollars,2010,49.846049
Australia,Gross domestic product (GDP),Total,Million US dollars,1994,381647.453
Australia,Employment rate,Total,Thousand persons,1994,7899.284
Australia,Employment rate,Men,% of working age population,1995,76.38482
Australia,Employment rate,Women,% of working age population,1995,58.79062
Australia,Employment rate,Men,Thousand persons,1995,4665.304
Australia,Employment rate,Total,Thousand persons,1995,8188.812
Australia,Gender wage gap,Employees,Percentage,1995,14.47811448
Australia,Employment rate,Men,Thousand persons,1996,4715.818
Australia,GDP per hour worked,Total,2015=100,2010,92.059829
Australia,Employment rate,Women,% of working age population,1996,58.95956
Australia,Employment rate,Men,% of working age population,1996,76.3037
Australia,GDP per hour worked,Total,2015=100,2011,93.143265
Israel,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,2.779842
Australia,Average wages,Total,US dollars,1997,46355.55509
Italy,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.776826
Australia,Gross domestic product (GDP),Total,US dollars/capita,1997,24478.24464
Australia,Employment rate,Women,% of working age population,1997,58.84204
Australia,Employment rate,Men,% of working age population,1997,75.84586
Australia,Employment rate,Men,Thousand persons,1997,4742.123
Australia,Employment rate,Men,% of working age population,2003,77.05504
Australia,Employment rate,Women,% of working age population,2003,62.97922
Australia,Employment rate,Men,Thousand persons,2003,5192.441
Australia,Employment rate,Total,Thousand persons,2003,9396.537
Italy,Exchange rates,Total,National currency units/US dollar,1995,0.841274
Australia,Average wages,Total,US dollars,1998,46999.6351
Japan,Exchange rates,Total,National currency units/US dollar,1995,94.059579
Australia,Gross domestic product (GDP),Total,US dollars/capita,1998,25725.59883
Australia,Employment rate,Women,Thousand persons,1998,3704.846
Australia,Employment rate,Total,% of working age population,1998,67.80048
Australia,Employment rate,Men,Thousand persons,1998,4812.578
Australia,GDP per hour worked,Total,US dollars,2011,50.432679
Australia,Employment rate,Total,% of working age population,1999,68.23203
Australia,Employment rate,Women,Thousand persons,1999,3781.775
Australia,GDP per hour worked,Total,US dollars,2012,51.65126
Australia,Gross domestic product (GDP),Total,Million US dollars,1999,510947.993
Australia,GDP per hour worked,Total,2015=100,2012,95.393843
Japan,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,174.240281
Australia,Employment rate,Total,Thousand persons,2001,9015.015
Australia,Gender wage gap,Employees,Percentage,2001,14.34210526
Australia,Employment rate,Total,% of working age population,2001,69.00098
Australia,Employment rate,Women,Thousand persons,2001,4006.594
Korea,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,717.702429
Australia,Average wages,Total,US dollars,2022,59407.88998
Korea,Exchange rates,Total,National currency units/US dollar,1995,771.254167
Australia,Gross domestic product (GDP),Total,US dollars/capita,2022,71861.52867
Australia,Employment rate,Total,% of working age population,2022,77.25888
Australia,Employment rate,Women,Thousand persons,2022,6483.437
Australia,Employment rate,Men,Thousand persons,2022,7141.941
Australia,GDP per hour worked,Total,US dollars,2013,52.552964
Australia,Trust in government,Total,Percentage,2022,49.91188168
Australia,Gender wage gap,Employees,Percentage,2002,15
Australia,Employment rate,Women,% of working age population,2002,62.03787
Australia,Employment rate,Men,% of working age population,2002,76.68957
Australia,GDP per hour worked,Total,2015=100,2013,97.059185
Australia,Gross domestic product (GDP),Total,Million US dollars,2002,600908.415
Australia,Employment rate,Total,Thousand persons,2002,9190.267
Australia,GDP per hour worked,Total,US dollars,2014,52.800466
Australia,Gross domestic product (GDP),Total,Million US dollars,2000,539145.522
Australia,Employment rate,Total,Thousand persons,2000,8901.732
Australia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,7.366
Latvia,Exchange rates,Total,National currency units/US dollar,1995,0.750683
Australia,Average wages,Total,US dollars,2000,48213.08868
Latvia,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.296041
